time_s,pitch_rad,pitch_deg,policy_action
0.0,0.011421986855566502,0.6544316404778627,-0.19121789932250977
0.06666666666666667,0.01247063372284174,0.7145146801723493,-0.17423425614833832
0.13333333333333333,0.0027618929743766785,0.1582448108986173,-0.10117269307374954
0.2,-0.01346388179808855,-0.771423602893484,-0.018147669732570648
0.26666666666666666,-0.031841251999139786,-1.8243693539632049,0.052029676735401154
0.3333333333333333,-0.04949982091784477,-2.8361308252458945,0.10308722406625748
0.4,-0.06521765887737274,-3.7366966033973648,0.13793012499809265
0.4666666666666667,-0.07894574105739594,-4.523257773121448,0.1625327467918396
0.5333333333333333,-0.02507486194372177,-1.4366837612484615,0.17717555165290833
0.6,-0.00042343532550148666,-0.024261057047983425,-0.13709159195423126
0.6666666666666666,0.0003460212319623679,0.019825556213360945,-0.24278855323791504
0.7333333333333333,-0.0002801486407406628,-0.016051334750766727,-0.24255067110061646
0.8,0.0003238415520172566,0.018554754161555116,-0.20456591248512268
0.8666666666666667,-0.0005053544300608337,-0.02895467600072491,-0.18438968062400818
0.9333333333333333,3.827390537480824e-05,0.002192933243459589,-0.1770188808441162
1.0,0.00010190936882281676,0.005838976726389495,-0.1739332675933838
1.0666666666666667,0.00013204579590819776,0.007565666807985567,-0.1740073263645172
1.1333333333333333,-0.0004900516360066831,-0.02807789048666419,-0.1740405410528183
1.2,0.0001126098504755646,0.006452069163849118,-0.17532604932785034
1.2666666666666666,4.250109850545414e-05,0.002435133569032293,-0.17415717244148254
1.3333333333333333,0.0004853932769037783,0.027810986170611396,-0.19786185026168823
1.4,-0.00012129063543397933,-0.00694944150482693,-0.18933317065238953
1.4666666666666666,-0.0003217161283828318,-0.018432976357625218,-0.16909292340278625
1.5333333333333332,0.00025033773272298276,0.014343295537900954,-0.2179136872291565
1.6,1.7306982044829056e-05,0.0009916170272774001,-0.25837045907974243
1.6666666666666667,0.0005868175649084151,0.03362216981339643,-0.2894919216632843
1.7333333333333334,0.0005124486633576453,0.029361145627513394,-0.2795032560825348
1.8,0.00045608211075887084,0.026131580057901456,-0.31948304176330566
1.8666666666666667,0.0002863430418074131,0.016406247788502856,-0.30795952677726746
1.9333333333333333,0.00044983747648075223,0.025773788869162536,-0.30844658613204956
2.0,6.172727444209158e-05,0.0035367123063776013,-0.2839869260787964
2.0666666666666664,0.0002673437411431223,0.015317668046738892,-0.28967249393463135
2.1333333333333333,-0.00016201092512346804,-0.009282542244584715,-0.31167837977409363
2.2,0.00046203905367292464,0.0264728877456771,-0.23710709810256958
2.2666666666666666,-0.00025771447690203786,-0.014765951845908508,-0.3354378938674927
2.3333333333333335,-0.0003456035046838224,-0.019801622203312802,-0.2846057116985321
2.4,0.000327910587657243,0.01878789273041465,-0.29032930731773376
2.466666666666667,-0.019491450861096382,-1.116777870927457,-0.285767525434494
2.533333333333333,-0.027967622503638268,-1.6024267324735777,-0.33753302693367004
2.6,-0.0444750040769577,-2.548230027436806,-0.32252928614616394
2.6666666666666665,-0.06602567434310913,-3.7829924793653573,-0.31746628880500793
2.7333333333333334,-0.0973968654870987,-5.580429330214145,-0.22080585360527039
2.8,-0.12285900115966797,-7.039302241641861,-0.25308123230934143
2.8666666666666667,-0.14123131334781647,-8.091958189919533,-0.3529245853424072
2.933333333333333,-0.1695737987756729,-9.715862985846744,-0.29890161752700806
3.0,-0.2056524008512497,-11.783014615509225,0.03417997807264328
3.0666666666666664,-0.22900284826755524,-13.120896702205691,-0.15276822447776794
3.1333333333333333,-0.23846642673015594,-13.663119807203616,-0.04665636271238327
3.2,-0.2594608664512634,-14.866012596464888,-0.17697210609912872
3.2666666666666666,-0.27106985449790955,-15.531158615955531,0.09824926406145096
3.3333333333333335,-0.28901922702789307,-16.559581906831646,0.027024224400520325
3.4,-0.30901890993118286,-17.705479328790098,0.35036298632621765
3.466666666666667,-0.3596958816051483,-20.609055924212342,0.4534142315387726
3.533333333333333,-0.4046030640602112,-23.182047948711382,1.1437205076217651
3.6,-0.4525681734085083,-25.930246278252298,1.6309032440185547
3.6666666666666665,-0.45342180132865906,-25.97915555535147,0.40664154291152954
3.7333333333333334,-0.4425186812877655,-25.35445279348376,-0.04819060489535332
3.8,-0.3986285924911499,-22.839735942983268,-0.1382337510585785
3.8666666666666667,-0.3216761648654938,-18.43068661674725,-0.15043795108795166
3.933333333333333,-0.2748209238052368,-15.746079055926446,-0.20954951643943787
4.0,-0.27056172490119934,-15.502044934618352,-0.2137964963912964
4.066666666666666,-0.2877124845981598,-16.484711080697256,-0.15059217810630798
4.133333333333333,-0.3026583790779114,-17.341047755434897,0.01898876577615738
4.2,-0.3086102306842804,-17.682063732768004,-0.12541162967681885
4.266666666666667,-0.31554877758026123,-18.0796131858613,-0.08409782499074936
4.333333333333333,-0.3050493001937866,-17.47803744452326,-0.06570889800786972
4.4,-0.3113386929035187,-17.838393102491253,-0.06268028914928436
4.466666666666667,-0.3035356104373932,-17.39130940998973,-0.04595901817083359
4.533333333333333,-0.30934929847717285,-17.724409198074788,0.1431555151939392
4.6,-0.3272167444229126,-18.74813844144381,0.24424311518669128
4.666666666666667,-0.3731319308280945,-21.378884838017186,0.6757775545120239
4.733333333333333,-0.42096906900405884,-24.119750959484094,1.1902669668197632
4.8,-0.46342694759368896,-26.55240820974876,0.9027513265609741
4.866666666666666,-0.46529754996299744,-26.659585830657306,0.4409199655056
4.933333333333334,-0.4344160556793213,-24.890206543145286,-0.024903252720832825
5.0,-0.3769628405570984,-21.598379797184716,-0.15193140506744385
