time_s,pitch_rad,pitch_deg
0.0,0.015258603729307652,0.8742535949519069
0.06666666666666667,0.03010949306190014,1.7251468757253123
0.13333333333333333,0.04445652291178703,2.5471711346720425
0.2,0.05812055990099907,3.3300627852645364
0.26666666666666666,0.07094523310661316,4.064862433580736
0.3333333333333333,0.0827748253941536,4.742648145017312
0.4,0.09345393627882004,5.354516127660918
0.4666666666666667,0.10282677412033081,5.891540178039993
0.5333333333333333,-0.020464183762669563,-1.1725113607811146
0.6,-0.00033900554990395904,-0.019423587241008462
0.6666666666666666,-0.00019137364870402962,-0.010964902380760153
0.7333333333333333,-0.0005925368750467896,-0.03394986214605167
0.8,-0.00043201568769291043,-0.024752675588245628
0.8666666666666667,0.0003716727951541543,0.021295282522163436
0.9333333333333333,-2.7109792426927015e-05,-0.0015532766895386392
1.0,0.0004344400658737868,0.02489158222595345
1.0666666666666667,-0.0005282384227029979,-0.03026583219752935
1.1333333333333333,0.0004913021111860871,0.028149537436829904
1.2,-0.000241801593801938,-0.013854210804387732
1.2666666666666666,0.00034826245973818004,0.019953969105842472
1.3333333333333333,0.00035238228156231344,0.020190017508711206
1.4,0.00011550951603567228,0.006618207762442725
1.4666666666666666,-3.4233835322083905e-05,-0.001961454280501289
1.5333333333333332,-0.00017956100055016577,-0.010288087496670751
1.6,0.00010368047514930367,0.005940453643966114
1.6666666666666667,-0.0005462802364490926,-0.03129955197994169
1.7333333333333334,0.0004335855192039162,0.024842620308372903
1.8,-0.0004023115034215152,-0.023050751195615803
1.8666666666666667,1.8643520888872445e-05,0.00106819506219638
1.9333333333333333,2.9378004910540767e-05,0.0016832356918885937
2.0,-1.206631804961944e-05,-0.000691349098505721
2.0666666666666664,-0.0003335541405249387,-0.019111244491192565
2.1333333333333333,-0.00064709538128227,-0.03707583428988288
2.2,-0.0001321211748290807,-0.00756998570201641
2.2666666666666666,-3.837266922346316e-05,-0.002198591995155985
2.3333333333333335,-0.010725376196205616,-0.6145187897326585
2.4,-0.07892020791769028,-4.521794831978596
2.466666666666667,-0.13998813927173615,-8.020729562160055
2.533333333333333,-0.1862536519765854,-10.671548177156806
2.6,-0.22028285264968872,-12.621277755929366
2.6666666666666665,-0.24229981005191803,-13.882756492796423
2.7333333333333334,-0.2504377067089081,-14.349023625355574
2.8,-0.2743765711784363,-15.720619525795223
2.8666666666666667,-0.28667885065078735,-16.42548821795137
2.933333333333333,-0.31389492750167847,-17.98485455641113
3.0,-0.33377328515052795,-19.123800553341805
3.0666666666666664,-0.36706364154815674,-21.031197473412274
3.1333333333333333,-0.39697787165641785,-22.745156605998808
3.2,-0.4372006952762604,-25.049754639514905
3.2666666666666666,-0.4832088053226471,-27.68582516854631
3.3333333333333335,-0.5149845480918884,-29.50644112011718
3.4,-0.534562349319458,-30.62816650260296
3.466666666666667,-0.5482729077339172,-31.41372363451905
3.533333333333333,-0.5658993124961853,-32.4236422353863
